"","species","date","hour.1.total","hour.2.total","hour.3.total","hour.4.total","hour.5.total","day.total","total.obs.mins","time.of.obs","start.time.am","start.time.pm","principle.observer","wind.dir.speed","wind.dir","wind.speed","visibility"
"2503","CATE",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2504","CO sp.",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2505","COEI",2021-10-11,"","","","","",85,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2506","COGO",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2507","COLO",2021-10-11,"","","","","",6,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2508","COMU",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2509","COTE",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2510","DCCO",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2511","Duck sp.",2021-10-11,"","","","","",1,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2512","GBHE",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2513","GRCO",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2514","Great Shearwater",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2515","GREG",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2516","GRSC",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2517","GWTE",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2518","HADU",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2519","HOGR",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2520","Jaeger sp.",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2521","LAGU",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2522","Large alcid sp.",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2523","LO sp.",2021-10-11,"","","","","",1,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2524","LTDU",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2525","MALL",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2526","MALL/ABDU",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2527","NOGA",2021-10-11,"","","","","",28,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2528","NOPI",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2529","PAJA",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2530","POJA",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2531","RAZO",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2532","RBGU",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2533","RBME",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2534","RNGR",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2535","RNPH",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2536","RTLO",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2537","SC sp.",2021-10-11,"","","","","",30,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2538","Scaup sp.",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2539","Shearwater sp.",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
"2540","SUSC",2021-10-11,"","","","","",0,150,"6:40-9:10","","","RZK","SE - SEE 1-5","","","5-8 miles, hazy"
