"","species","date","hour.1.total","hour.2.total","hour.3.total","hour.4.total","hour.5.total","day.total","total.obs.mins","time.of.obs","start.time.am","start.time.pm","principle.observer","wind.dir.speed","wind.dir","wind.speed","visibility"
"125","DCCO",2021-08-25,"","","","","",110,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"126","Duck sp.",2021-08-25,"","","","","",2,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"127","GBHE",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"128","GRCO",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"129","GREG",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"130","GRSC",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"131","GWTE",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"132","Great Shearwater",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"133","HADU",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"134","HOGR",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"135","Jaeger sp.",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"136","LAGU",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"137","LO sp.",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"138","LTDU",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"139","Large alcid sp.",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"140","MALL",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"141","MALL/ABDU",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"142","NOGA",2021-08-25,"","","","","",48,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"143","NOPI",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"144","PAJA",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"145","POJA",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"146","RAZO",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"147","RBGU",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"148","RBME",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"149","RNGR",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"150","RNPH",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"151","RTLO",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"152","SC sp.",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
"153","SUSC",2021-08-25,"","","","","",0,301,"5:17-8:18  13:29-17:29","","","ACK","NW 7","","","9 to 10 mi"
